Run 1: Wavelength (nm),Run 1: Intensity (rel),Run 2: Wavelength (nm),Run 2: Intensity (rel),Run 3: Wavelength (nm),Run 3: Intensity (rel),Run 4: Wavelength (nm),Run 4: Intensity (rel)
853.9,0.01561681853,853.9,0.01789207419,853.9,0.03199601561,853.9,0.03119988749
854.5,0.0157793474,854.5,0.01680532174,854.5,0.02119689695,854.5,0.02556568215
855.2,0.01597283415,855.2,0.01927330149,855.2,0.0465184125,855.2,0.04534325605
855.8,0.01564932431,855.8,0.01529399575,855.8,0.01708678462,855.8,0.01567770436
856.5,0.01564622852,856.5,0.01673598771,856.5,0.02833720973,856.5,0.02926841425
857.2,0.01555877251,857.2,0.01621870913,857.2,0.02232516307,857.2,0.02322315386
857.8,0.01527241212,857.8,0.01537968949,857.8,0.01976238715,857.8,0.01855832637
858.5,0.0156114009,858.5,0.01491850136,858.5,0.0118000519,858.5,0.007922681516
859.1,0.01501236593,859.1,0.01463960718,859.1,0.008705379089,859.1,0.008430027021
859.8,0.01578940871,859.8,0.01671884896,859.8,0.02145478635,859.8,0.02183624764
860.5,0.01604094149,860.5,0.016078483,860.5,0.02053605536,860.5,0.02171001814
861.1,0.01604790701,861.1,0.01427424023,861.1,0.005385053053,861.1,0.005112456732
861.8,0.01579947002,861.8,0.01463415394,861.8,0.01112309222,861.8,0.01332222945
862.4,0.01569343929,862.4,0.01463415394,862.4,0.009269512154,862.4,0.01127423667
863.1,0.01577547767,863.1,0.01832132193,863.1,0.03206048796,863.1,0.03386527201
863.8,0.01509827405,863.8,0.01458585383,863.8,0.01252536584,863.8,0.01218778225
864.4,0.01501081804,864.4,0.01590086325,864.4,0.02081006284,864.4,0.02352173518
865.1,0.01590240497,865.1,0.0163830853,865.1,0.02409815271,865.1,0.02413669943
865.8,0.01568647376,865.8,0.01691828167,865.8,0.01940778923,865.8,0.02013943182
866.4,0.01625222902,866.4,0.01670326828,866.4,0.02429156976,866.4,0.02432442536
867.1,0.01577006004,867.1,0.01606835556,867.1,0.02400144418,867.1,0.02610377586
867.7,0.01563307142,867.7,0.01471127831,867.7,0.01334738831,867.7,0.01134139724
868.4,0.01528479527,868.4,0.01624285918,868.4,0.02296988658,868.4,0.02142681092
869.1,0.01587144709,869.1,0.01457884253,869.1,0.009333984504,869.1,0.01013978947
869.7,0.01561062696,869.7,0.01527763604,869.7,0.01603910893,869.7,0.01580231553
870.4,0.01546435098,870.4,0.01549654459,870.4,0.01589404614,870.4,0.01945002453
871,0.01521978373,871,0.015620411,871,0.01976238715,871,0.01842886021
871.7,0.01544732414,871.7,0.01575128872,871.7,0.01660324199,871.7,0.01804693504
872.4,0.01569498718,872.4,0.01569208213,872.4,0.01613581745,872.4,0.01811490478
873,0.01572749295,873,0.01615950254,873,0.02106795225,873,0.02213806562
873.7,0.01537689497,873.7,0.01394237174,873.7,0.009269512154,873.7,0.006509882071
874.3,0.01547596018,874.3,0.01617664129,874.3,0.02443663254,874.3,0.02412941696
875,0.01535832024,875,0.01569052406,875,0.0127026648,875,0.01282459391
875.7,0.01555335488,875.7,0.01453911179,875.7,0.009511283467,875.7,0.01101854101
876.3,0.01562920169,876.3,0.01685751702,876.3,0.02477511238,876.3,0.02523958926
877,0.01561914037,877,0.01501198544,877,0.01320232552,877,0.01307462543
877.6,0.01558276487,877.6,0.01642125797,877.6,0.01947226158,877.6,0.01912150415
878.3,0.01644339392,878.3,0.01673209254,878.3,0.02168043957,878.3,0.02366657545
879,0.01621972324,879,0.01647968552,879,0.02287317805,879,0.02243260113
879.6,0.01615548564,879.6,0.01682168145,879.6,0.02232516307,879.6,0.02425079148
880.3,0.01532658841,880.3,0.01727819538,880.3,0.0266931648,880.3,0.02813477621
880.9,0.01584048922,880.9,0.0157715436,880.9,0.0256616072,880.9,0.02461248756
881.6,0.01591246629,881.6,0.01672741834,881.6,0.02574219764,881.6,0.02575340808
882.3,0.01540166127,882.3,0.01491772232,882.3,0.008270190725,882.3,0.01093519717
